id,name,islandId
0,Đồi cát pha lê,12
1,Eo Gió Gót Beo,12
2,Miếu thờ Trần Khánh Dư,12
3,Rừng Trâm,12
4,Thương cảng cổ Vân Đồn,12
5,Đình Quan Lạn,12
6,Bãi biển Sơn Hào,12
7,Bãi tắm Robinson,12
8,Bãi tắm Quan Lạn,12
9,Bãi Rùa (bãi nhánh Rìa),12
10,Bãi tắm Minh Châu,12
11,Bãi biển Cồn Khởi,12
12,Bãi tắm Trường Chinh,33
13,Bến Cống Yên,33
14,Hồ nước ngọt trên đảo Ngọc Vừng,33
15,Khu lưu niệm Bác Hồ,33
16,Thành cổ Ngọc Vừng,33
17,Bãi tắm Tuần Châu,53
18,Công viên King Kong,53
19,Sân khấu biểu diễn cá heo Tuần Châu,53
20,Phố đi bộ Paradise,53
21,Sân khấu nhạc nước Tuần Châu,53
22,Tuần Châu Park,53
23,Bãi biển Vàn Chảy,57
24,Ngọn hải đăng Cô Tô,57
25,Khu Di tích lưu niệm Hồ Chủ tịch trên đảo Cô Tô,57
26,Con đường Tình Yêu,57
27,Đảo Cô Tô Con,57
28,Cầu Gỗ,57
29,Bãi đá Cầu Mỵ (Bãi Đá Móng Rồng),57
30,Bãi biển Tình Yêu,57
31,Bãi biển Hồng Vàn,57
32,Phố đi bộ Ký Con,57
33,Bãi biển Ba Châu,58
34,Bãi biển Hải Quân,58
35,Nhà Thờ Thanh Lân,58
